同济城市阳光 ,2室2厅,84.79平米,430万,122人关注,共120次带看,baoshan
保利叶上海(一期) ,3室2厅,88.09平米,460万,63人关注,共117次带看,baoshan
经纬城市绿洲 ,2室2厅,84平米,430万,36人关注,共114次带看,baoshan
锦秋花园(公寓) ,1室1厅,63.97平米,330万,128人关注,共107次带看,baoshan
文宝苑 ,2室2厅,76.19平米,375万,185人关注,共102次带看,baoshan
中环一号(一期) ,2室2厅,96.93平米,560万,136人关注,共102次带看,baoshan
三花现代城 ,2室2厅,88.58平米,580万,35人关注,共102次带看,baoshan
上大阳光乾泽园 ,2室2厅,95.49平米,460万,56人关注,共101次带看,baoshan
馨佳园(菊盛路851弄) ,2室1厅,74.72平米,315万,39人关注,共98次带看,baoshan
乾溪新村 ,2室1厅,56.98平米,258万,61人关注,共97次带看,baoshan
馨佳园(韶山路245弄) ,2室1厅,75.17平米,325万,80人关注,共97次带看,baoshan
文宝苑 ,2室1厅,71.15平米,350万,74人关注,共96次带看,baoshan
三花现代城 ,2室2厅,89.89平米,598万,58人关注,共95次带看,baoshan
采菊苑 ,2室1厅,78.1平米,320万,107人关注,共93次带看,baoshan
中环一号(二期) ,2室2厅,86.93平米,499万,50人关注,共93次带看,baoshan
慧华苑 ,3室2厅,117.62平米,460万,29人关注,共91次带看,baoshan
乐业五村 ,2室1厅,59.06平米,189万,47人关注,共91次带看,baoshan
葑润华庭 ,1室1厅,46.1平米,245万,47人关注,共91次带看,baoshan
远洋香奈 ,3室2厅,108.19平米,460万,35人关注,共91次带看,baoshan
经纬观澜弘郡家园(三期) ,1室1厅,64.39平米,354万,28人关注,共90次带看,baoshan
文宝苑 ,2室2厅,76.5平米,380万,36人关注,共89次带看,baoshan
丽景翠庭 ,2室2厅,87平米,335万,182人关注,共89次带看,baoshan
尚汇豪庭 ,3室2厅,156.32平米,1600万,94人关注,共225次带看,xuhui
永新城 ,3室2厅,139.95平米,1620万,14人关注,共177次带看,xuhui
百汇园 ,3室2厅,189.09平米,2000万,100人关注,共150次带看,xuhui
亚都国际名园 ,2室2厅,113.91平米,1200万,32人关注,共141次带看,xuhui
尚海湾豪庭 ,3室2厅,166平米,1800万,88人关注,共135次带看,xuhui
锦汇苑 ,2室2厅,94.26平米,950万,39人关注,共133次带看,xuhui
徐家汇花园 ,3室2厅,127平米,1100万,98人关注,共118次带看,xuhui
怡桂苑 ,2室1厅,84.29平米,600万,159人关注,共113次带看,xuhui
田林十二村 ,2室1厅,50.63平米,415万,7人关注,共112次带看,xuhui
锦汇苑 ,2室2厅,94.3平米,950万,57人关注,共107次带看,xuhui
兆丰帝景苑 ,3室2厅,158.09平米,1430万,31人关注,共106次带看,xuhui
交大公寓 ,2室2厅,77.51平米,630万,284人关注,共105次带看,xuhui
丽锦小区 ,2室1厅,85平米,575万,74人关注,共104次带看,xuhui
中瑞公寓 ,2室2厅,86.86平米,705万,182人关注,共103次带看,xuhui
汇翠花园 ,2室2厅,126.01平米,1090万,64人关注,共101次带看,xuhui
云锦东方(公寓) ,3室2厅,198.9平米,2950万,39人关注,共100次带看,xuhui
尚海湾豪庭 ,2室2厅,115.74平米,1400万,54人关注,共99次带看,xuhui
钦州花苑 ,2室1厅,82.81平米,470万,134人关注,共93次带看,xuhui
东方曼哈顿 ,2室2厅,84.31平米,1100万,29人关注,共92次带看,xuhui
瑞金南苑 ,3室2厅,141.7平米,1218万,53人关注,共90次带看,xuhui
中海馨园 ,3室2厅,145.18平米,1220万,49人关注,共89次带看,xuhui
大木桥路450弄 ,2室1厅,49.98平米,385万,93人关注,共88次带看,xuhui
田林新苑 ,2室1厅,79.98平米,530万,89人关注,共88次带看,xuhui
徐汇苑 ,4室2厅,190.06平米,1580万,63人关注,共86次带看,xuhui
田林十二村 ,2室1厅,51.2平米,420万,26人关注,共83次带看,xuhui
乐山大楼 ,2室1厅,63.92平米,500万,54人关注,共81次带看,xuhui
梓树园 ,2室2厅,111.29平米,790万,66人关注,共81次带看,xuhui
寿祥坊 ,2室1厅,55.1平米,330万,61人关注,共81次带看,xuhui
