上青佳园,普陀,144,985,205,120,0,0
中鼎豪园,普陀,105,570,139,118,6378,14
桃浦三村石榴苑,普陀,67,257,116,111,4200,7
阳光威尼斯(一期),普陀,78,369,57,111,0,0
桃浦一村海棠苑,普陀,42,168,132,109,0,0
东沙小区,普陀,74,545,29,107,0,0
香溢花城(住宅),普陀,138,1060,54,105,13437,5
愉景华庭,普陀,93,630,106,99,6575,11
音乐广场,普陀,157,1340,49,96,0,0
金沙雅苑(三期),普陀,103,745,15,94,8750,11
安居锦竹苑,普陀,77,335,94,86,0,0
紫腾苑小区,普陀,54,220,154,86,3675,3
荣和怡景园,普陀,65,370,97,84,0,0
武宁小城,普陀,66,410,133,82,0,0
上海知音苑,普陀,134,1170,8,82,11750,16
车站新村(普陀),普陀,32,185,90,81,3556,3
金沙雅苑(一期),普陀,92,565,337,81,0,0
和平花苑,杨浦,85,653,89,176,8512,42
加州水郡,杨浦,165,1365,34,150,15312,12
九龙仓玺园,杨浦,145,1350,195,123,22968,20
长白三村,杨浦,33,175,104,118,3282,5
恒阳花苑,杨浦,66,520,149,108,6175,29
东岸新里,杨浦,76,560,144,105,0,0
新江湾佳苑,杨浦,86,750,134,104,0,0
鞍山一村,杨浦,61,398,114,99,5500,14
韵都城,杨浦,98,745,80,93,0,0
银亿领墅,杨浦,490,2600,56,92,0,0
控江五村,杨浦,33,195,106,91,3425,4
大运盛城,杨浦,98,735,51,86,5040,57
黄兴路619弄,杨浦,46,380,577,83,0,0
铁路新村(杨浦),杨浦,50,340,93,82,5200,29
文化佳园,杨浦,128,1060,52,81,0,0
香阁丽苑,杨浦,142,1150,88,80,0,0
控江四村,杨浦,33,205,30,77,3908,19
国定路600弄,杨浦,49,320,95,77,0,0
华升公寓,杨浦,230,1000,117,74,0,0
三门路358弄,杨浦,55,305,63,73,5364,26
嘉誉湾,杨浦,201,1950,105,72,0,0
九州花苑,杨浦,88,510,17,68,0,0
鞍山七村,杨浦,27,218,45,68,3600,11
鞍山三村,杨浦,47,370,33,68,5100,1
华润置地橡树湾,杨浦,83,810,63,66,8375,12
辽阳大楼,杨浦,71,455,73,65,0,0
翠湖天地雅苑,黄埔,116,1630,38,345,34437,79
中福浦江汇,黄埔,62,660,187,315,0,0
中福花苑,黄埔,40,420,104,191,6842,287
济南路8号,黄埔,147,1560,42,173,0,0
黄浦新苑(公寓),黄埔,117,929,87,170,12875,7
绿城黄浦湾,黄埔,284,3880,50,156,47078,83
滨江名人苑,黄埔,147,1380,164,147,16125,38
翠湖天地御苑,黄埔,280,4100,116,143,33625,37
明珠家园(黄浦),黄埔,127,1170,91,138,0,0
耀江花园,黄埔,103,1250,76,138,14117,25
翠湖天地嘉苑,黄埔,325,5200,40,136,0,0
海华花园,黄埔,115,890,119,132,14950,16
汇龙新城,黄埔,143,1460,78,126,18212,93
大同花园南区,黄埔,153,1300,47,121,16000,3
融创滨江壹号院,黄埔,172,1750,105,121,19000,6
